name,voltage_class,lat,lon
MV/LV Substation BI***4155,LV,53.24564362,-6.1440258
MV/LV Substation MA***4158,LV,53.24560928,-6.14398241
MV/LV Substation GR***4159,LV,53.28777695,-6.23009348
MV/LV Substation KI***4160,LV,53.28774261,-6.23015451
MV/LV Substation SA***4161,LV,53.27339935,-6.11730814
MV/LV Substation TH***4162,LV,53.29674149,-6.21166325
MV/LV Substation TB***4163,LV,53.29689789,-6.21131182
MV/LV Substation GR***4164,LV,53.28186417,-6.19414186
MV/LV Substation GR***4165,LV,53.28182983,-6.19418812
MV/LV Substation SL***4166,LV,53.28941345,-6.19826221
MV/LV Substation CE***4167,LV,53.26906204,-6.20623875
MV/LV Substation CE***4168,LV,53.26912689,-6.20638561
MV/LV Substation TH***4171,LV,53.28895187,-6.17676115
MV/LV Substation CH***4176,LV,53.24295044,-6.14234495
MV/LV Substation CH***4177,LV,53.24300385,-6.14237261
MV/LV Substation CH***4178,LV,53.24254608,-6.14191294
MV/LV Substation MA***4179,LV,53.2827034,-6.11022615
MV/LV Substation TH***4180,LV,53.2754364,-6.15853691
MV/LV Substation KA***4181,LV,53.25403595,-6.12613058
MV/LV Substation FO***4182,LV,53.3170166,-6.20871449
MV/LV Substation BE***4183,LV,53.30363464,-6.2351532
MV/LV Substation TH***4185,LV,53.28107071,-6.10251617
MV/LV Substation ST***4186,LV,53.28179169,-6.19411469
MV/LV Substation ST***4188,LV,53.28952789,-6.19750786
MV/LV Substation CO***4189,LV,53.26305771,-6.13293028
MV/LV Substation OL***4190,LV,53.29644394,-6.19604635
MV/LV Substation RO***4192,LV,53.2991066,-6.17089844
MV/LV Substation CR***4193,LV,53.28007126,-6.16560936
MV/LV Substation EX***4194,LV,53.24568176,-6.14408445
MV/LV Substation OA***4195,LV,53.29204941,-6.20674515
MV/LV Substation MO***4196,LV,53.2863121,-6.15482998
MV/LV Substation NE***4197,LV,53.29291534,-6.17213821
MV/LV Substation FE***4199,LV,53.27524185,-6.19106293
MV/LV Substation AL***4201,LV,53.30216599,-6.19067478
MV/LV Substation TC***4203,LV,53.2447319,-6.14716673
MV/LV Substation TC***4204,LV,53.24474716,-6.14709091
MV/LV Substation PL***4205,LV,53.24491119,-6.14652967
MV/LV Substation EV***4207,LV,53.28923416,-6.19698
MV/LV Substation EV***4208,LV,53.28924942,-6.19687462
MV/LV Substation AR***4209,LV,53.2905426,-6.18980122
MV/LV Substation HA***4210,LV,53.26634216,-6.13546991
MV/LV Substation PA***4211,LV,53.2652359,-6.13434887
MV/LV Substation LA***4217,LV,53.29677582,-6.20014238
MV/LV Substation LO***4218,LV,53.24487686,-6.12656069
MV/LV Substation CA***4219,LV,53.25522614,-6.17031431
MV/LV Substation AT***4220,LV,53.26054382,-6.13086653
MV/LV Substation WO***4222,LV,53.24853134,-6.15810442
MV/LV Substation AL***4223,LV,53.30213928,-6.19060087
MV/LV Substation AR***4224,LV,53.25694275,-6.14755297
MV/LV Substation FO***4225,LV,53.30210495,-6.21214437
MV/LV Substation CO***4227,LV,53.24007416,-6.12110853
MV/LV Substation CO***4228,LV,53.24074173,-6.11901188
MV/LV Substation JO***4229,LV,53.27045441,-6.14217138
MV/LV Substation BA***4232,LV,53.27708435,-6.1117034
MV/LV Substation BE***4235,LV,53.29547501,-6.14174557
MV/LV Substation BE***4236,LV,53.2632637,-6.18179655
MV/LV Substation DR***4240,LV,53.28640747,-6.22497654
MV/LV Substation NU***4245,LV,53.25775146,-6.15229845
MV/LV Substation RO***452,LV,53.27040482,-6.15635443
MV/LV Substation MU***457,LV,53.25847244,-6.14421988
MV/LV Substation RO***470,LV,53.29226685,-6.1342659
MV/LV Substation AR***471,LV,53.28404999,-6.18188858
MV/LV Substation RO***475,LV,53.26695251,-6.11822081
MV/LV Substation BR***477,LV,53.31696701,-6.2188158
MV/LV Substation FO***480,LV,53.27761078,-6.17433596
MV/LV Substation AV***481,LV,53.29392624,-6.17639971
MV/LV Substation RO***482,LV,53.28826141,-6.17029715
MV/LV Substation CL***484,LV,53.27748871,-6.15829849
MV/LV Substation ST***485,LV,53.28269196,-6.2108407
MV/LV Substation RO***489,LV,53.28395462,-6.15733051
MV/LV Substation AM***490,LV,53.2584343,-6.17447853
MV/LV Substation HI***520,LV,53.2700119,-6.14946127
MV/LV Substation WO***523,LV,53.28636551,-6.19638109
MV/LV Substation AL***525,LV,53.29650879,-6.16725969
MV/LV Substation BA***527,LV,53.27780533,-6.11134195
MV/LV Substation CH***530,LV,53.28233337,-6.12160826
MV/LV Substation FA***532,LV,53.27444077,-6.11795187
MV/LV Substation KN***534,LV,53.27542114,-6.17979622
MV/LV Substation KI***536,LV,53.27540207,-6.1208477
MV/LV Substation CO***540,LV,53.23553848,-6.11557055
MV/LV Substation RA***541,LV,53.23868942,-6.11824799
MV/LV Substation RA***542,LV,53.23773193,-6.12146568
MV/LV Substation SH***549,LV,53.25513077,-6.13814545
MV/LV Substation SE***550,LV,53.24078369,-6.12467241
MV/LV Substation CR***553,LV,53.3099823,-6.21604633
MV/LV Substation IR***555,LV,53.31819153,-6.20638418
MV/LV Substation AS***556,LV,53.29742432,-6.20265007
MV/LV Substation SP***563,LV,53.28424072,-6.1240139
MV/LV Substation ST***564,LV,53.26029205,-6.11756945
MV/LV Substation KN***567,LV,53.26458359,-6.11673594
MV/LV Substation WA***569,LV,53.26122284,-6.13755131
MV/LV Substation WA***570,LV,53.259758,-6.13391304
MV/LV Substation WY***571,LV,53.2685051,-6.11530447
MV/LV Substation BR***572,LV,53.25868988,-6.13631248
MV/LV Substation BE***576,LV,53.30325699,-6.2419796
MV/LV Substation LA***578,LV,53.28145981,-6.21425104
MV/LV Substation RO***580,LV,53.29433823,-6.24048615
MV/LV Substation UR***581,LV,53.26184845,-6.14471769
MV/LV Substation KI***588,LV,53.25925446,-6.12305498
MV/LV Substation CA***591,LV,53.26722717,-6.15145493
MV/LV Substation DR***592,LV,53.25477219,-6.158391
MV/LV Substation PI***593,LV,53.25596237,-6.13148594
MV/LV Substation WI***594,LV,53.25521469,-6.13607407
MV/LV Substation CO***595,LV,53.25365067,-6.13653183
MV/LV Substation CL***596,LV,53.2950592,-6.14681816
MV/LV Substation O ***597,LV,53.2980423,-6.17775393
MV/LV Substation TR***598,LV,53.29727173,-6.15981722
MV/LV Substation GR***604,LV,53.29394913,-6.16696453
MV/LV Substation IS***607,LV,53.28806686,-6.12662077
MV/LV Substation HI***610,LV,53.27594376,-6.13167858
MV/LV Substation B.***613,LV,53.29717255,-6.14056158
MV/LV Substation WO***615,LV,53.28839874,-6.22053003
MV/LV Substation ST***617,LV,53.29188919,-6.18442011
MV/LV Substation EL***619,LV,53.25615692,-6.13299084
MV/LV Substation FO***620,LV,53.23175049,-6.11825275
MV/LV Substation DE***622,LV,53.2936058,-6.14416647
MV/LV Substation LA***623,LV,53.25485992,-6.15059471
MV/LV Substation DU***626,LV,53.29246902,-6.13451195
MV/LV Substation DU***627,LV,53.2924118,-6.13493443
MV/LV Substation AV***629,LV,53.27524567,-6.18658018
MV/LV Substation WE***631,LV,53.27656174,-6.18934298
MV/LV Substation MA***632,LV,53.2857666,-6.21159697
MV/LV Substation LA***634,LV,53.25148392,-6.12830973
MV/LV Substation SH***635,LV,53.24998093,-6.12437487
MV/LV Substation GL***636,LV,53.25035095,-6.13062191
MV/LV Substation SH***637,LV,53.24824524,-6.12484026
MV/LV Substation LA***639,LV,53.24599075,-6.12603283
MV/LV Substation DE***641,LV,53.28609085,-6.16773558
MV/LV Substation CO***643,LV,53.23639297,-6.11232758
MV/LV Substation CO***651,LV,53.23378372,-6.11380529
MV/LV Substation HU***653,LV,53.28555298,-6.12289143
MV/LV Substation QU***656,LV,53.2930336,-6.16347885
