location_id,lat,lon,traffic_volume
586,53.3773202,-6.2155529,820.99
588,53.3359902,-6.2988976,0.0
589,53.340156,-6.223261,0.0
591,53.3826664,-6.2129617,552.91
593,53.36109691,-6.227780202,0.0
594,53.3675938,-6.2275658,0.0
596,53.3745192,-6.2458056,379.18
597,53.369758,-6.32459,679.35
598,53.3346469,-6.2142741,35.25
599,53.3094976,-6.2847642,774.93
600,53.3524713,-6.224957739,2499.74
603,53.38294666,-6.20465646,0.0
605,53.3811174,-6.2454129,0.04
606,53.32887825,-6.303362208,0.0
608,53.38808855,-6.199225223,0.0
610,53.3276779,-6.2444165,987.07
611,53.3962867,-6.2169049,988.68
612,53.34793766,-6.263643766,68.71
613,53.3306178,-6.2518993,417.54
614,53.32930203,-6.248420171,22.26
615,53.3194492,-6.2325058,876.97
616,53.3930897,-6.2213413,338.91
617,53.38990084,-6.193174381,685.53
618,53.3241866,-6.2523517,0.0
620,53.3280994,-6.241527,173.9
622,53.340691,-6.265586,542.62
623,53.321366,-6.267498,458.61
624,53.3774714,-6.2580005,430.5
625,53.34566978,-6.26503475,0.0
626,53.38913522,-6.152513016,767.98
628,53.35331181,-6.285299255,577.64
629,53.3267666,-6.3134154,781.9
630,53.36684735,-6.17264609,624.28
631,53.36716065,-6.194883585,446.04
632,53.3691726,-6.194367,359.42
633,53.3624799,-6.1956467,355.74
634,53.39845917,-6.16003412,0.0
635,53.3983457,-6.1563824,0.0
637,53.33122057,-6.297950149,477.4
639,53.3902525,-6.1915019,1094.87
640,53.3863638,-6.2548961,536.72
641,53.30386386,-6.293915394,0.02
642,53.30570543,-6.290911843,0.0
648,53.3323279,-6.2317215,482.07
649,53.3843923,-6.2210689,529.75
650,53.313149,-6.2470577,693.83
651,53.342196,-6.32894,527.71
652,53.3837022,-6.2765003,0.0
653,53.34059504,-6.27239547,0.0
654,53.3421788,-6.3251363,486.67
655,53.3614044,-6.2145965,598.17
658,53.3420237,-6.2365483,640.34
659,53.37593724,-6.242346615,732.38
660,53.347605,-6.241202,1767.13
662,53.33925692,-6.264346684,197.58
663,53.339701,-6.264034,333.44
664,53.34590721,-6.296125569,843.14
665,53.343606,-6.270068,76.19
667,53.362105,-6.299983,1053.26
668,53.336765,-6.2631501,154.56
670,53.36807279,-6.30378423,0.0
672,53.38994938,-6.272031963,296.36
676,53.3463218,-6.3832173,1039.71
677,53.351254,-6.225855,2404.47
679,53.324163,-6.327237,1298.55
680,53.390168,-6.199851,596.08
682,53.35029413,-6.272272841,0.0
686,53.3254722,-6.2652374,0.0
689,53.3944777,-6.1610669,0.0
690,53.3761333,-6.2700266,375.94
691,53.37761719,-6.248155097,1236.42
692,53.337597,-6.347597,727.98
693,53.3105567,-6.289794,377.03
694,53.37730147,-6.196350693,471.09
695,53.3732745,-6.1940272,0.01
696,53.3658902,-6.195127,301.85
699,53.324038,-6.279767,483.42
700,53.36734754,-6.299733166,535.78
701,53.372135,-6.22266,1000.86
704,53.3730788,-6.2658127,0.0
706,53.337647,-6.226662,80.07
707,53.331854,-6.264628,67.2
709,53.3679443,-6.2395667,291.88
710,53.3468032,-6.2659467,261.16
711,53.34648366,-6.268027771,115.52
712,53.36483797,-6.239865205,0.05
715,53.373421,-6.2686914,0.0
716,53.3908161,-6.319788,629.29
720,53.3393555,-6.2749913,635.32
722,53.33270331,-6.2604787,381.26
724,53.34024873,-6.21476547,378.08
725,53.3426237,-6.215042,0.0
727,53.4028504,-6.1800714,1806.19
729,53.33867,-6.279439,480.87
733,53.3373102,-6.2859524,703.58
734,53.359634,-6.23199,534.11
738,53.33480041,-6.32773608,839.37
740,53.3716879,-6.2450338,237.35
742,53.35052969,-6.279824442,335.81
743,53.348685,-6.281942,552.31
744,53.3367547,-6.2598865,9.13
745,53.39654693,-6.264009476,998.35
747,53.3789143,-6.1757621,312.31
748,53.38032768,-6.172593241,261.71
750,53.3674069,-6.2553931,1800.47
751,53.33135638,-6.279351038,0.0
752,53.32493616,-6.302289368,463.21
753,53.348446,-6.279865,0.0
755,53.3942251,-6.2640546,921.11
756,53.342419,-6.356215,860.61
757,53.350682,-6.2767936,240.02
758,53.3323875,-6.2531729,1150.26
759,53.33873452,-6.27796845,0.01
760,53.346298,-6.2819972,830.42
761,53.346885,-6.282501,725.76
767,53.3284819,-6.3437672,0.0
769,53.33434393,-6.325080693,420.65
771,53.34324077,-6.290988583,934.23
772,53.3480536,-6.2897224,143.35
773,53.34718312,-6.28015948,576.64
775,53.347111,-6.276985,126.24
776,53.34707,-6.274992,864.12
777,53.34680112,-6.27284357,279.66
778,53.34689962,-6.27047036,177.19
780,53.3324229,-6.2562836,0.0
781,53.31049515,-6.251933165,115.95
782,53.34907,-6.26005,404.98
785,53.404056,-6.1836936,850.52
791,53.36685706,-6.218630618,510.61
796,53.34793861,-6.257392184,471.31
797,53.40095105,-6.182459776,1595.64
798,53.3768108,-6.309315111,1045.72
799,53.3349565,-6.3463179,608.76
800,53.3329333,-6.3557828,368.05
801,53.3379826,-6.255803283,691.39
806,53.31763,-6.215483,717.34
807,53.34669897,-6.247829761,502.09
808,53.34804971,-6.247895921,424.35
811,53.3774309,-6.187251,199.43
816,53.3533472,-6.2233522,1360.66
817,53.3542989,-6.2244639,236.4
818,53.3549204,-6.2217429,605.55
819,53.3383116,-6.2368216,0.0
821,53.3962602,-6.2932223,545.3
822,53.4098149,-6.2143587,1976.64
826,53.343796,-6.372084,685.29
830,53.3840774,-6.2436444,549.13
832,53.36240082,-6.242117291,1403.88
833,53.34247966,-6.23919209,533.14
834,53.39810787,-6.23868547,0.0
835,53.396273,-6.23979,0.0
838,53.3456199,-6.2991459,1026.61
839,53.36289792,-6.17840837,549.22
841,53.3972268,-6.1855568,0.01
844,53.32830152,-6.234123809,125.16
846,53.32151892,-6.230539879,0.0
