location_id,lat,lon,traffic_volume,traffic_source,distance_to_nearest_substation_m,charger_count_nearby,road_density,ev_penetration_proxy
140,53.354429,-6.26343,533.29,DCC_2024_2025,72.8,2,134,0.049
141,53.354212,-6.256897,1212.22,DCC_2024_2025,48.1,0,97,0.049
142,53.338852,-6.272633,1703.22,DCC_2024_2025,67.8,1,148,0.049
143,53.343504,-6.244701,688.21,DCC_2024_2025,94.6,2,137,0.049
144,53.342762,-6.241147,767.52,DCC_2024_2025,85.8,1,89,0.049
145,53.343518,-6.246393,693.2,DCC_2024_2025,38.8,1,137,0.049
146,53.34413,-6.249295,1334.1,DCC_2024_2025,72.7,1,174,0.049
147,53.329492,-6.232952,1367.76,DCC_2024_2025,29.7,0,55,0.049
148,53.362533,-6.272693,1070.18,DCC_2024_2025,65.4,0,66,0.049
149,53.360785,-6.272679,1672.08,DCC_2024_2025,44.1,1,58,0.049
150,53.364626,-6.271784,1184.07,DCC_2024_2025,61.1,0,67,0.049
151,53.357216,-6.288761,993.15,DCC_2024_2025,53.9,1,29,0.049
152,53.346386,-6.280432,1928.41,DCC_2024_2025,59.3,2,130,0.049
153,53.325099,-6.254663,681.1,DCC_2024_2025,38.1,1,57,0.049
155,53.311898,-6.274611,996.53,DCC_2024_2025,68.4,0,24,0.049
156,53.317193,-6.27048,563.85,DCC_2024_2025,144.3,0,20,0.049
157,53.32995,-6.264279,1169.85,DCC_2024_2025,106.0,1,78,0.049
158,53.322264,-6.265737,1784.44,DCC_2024_2025,86.9,1,40,0.049
159,53.313243,-6.26383,507.42,DCC_2024_2025,95.4,0,16,0.049
160,53.341593,-6.231705,555.56,DCC_2024_2025,46.5,2,34,0.049
162,53.378263,-6.26512,891.36,DCC_2024_2025,190.9,0,47,0.049
163,53.336119,-6.257122,958.69,DCC_2024_2025,55.3,3,90,0.049
164,53.337598,-6.262615,866.91,DCC_2024_2025,47.3,1,97,0.049
165,53.318579,-6.241455,1015.69,DCC_2024_2025,129.5,1,39,0.049
166,53.353031,-6.256035,1375.22,DCC_2024_2025,68.0,0,133,0.049
167,53.333684,-6.231825,795.29,DCC_2024_2025,96.1,0,51,0.049
168,53.350227,-6.235014,487.87,DCC_2024_2025,31.4,0,54,0.049
170,53.331554,-6.283468,802.41,DCC_2024_2025,172.2,0,21,0.049
171,53.340612,-6.30767,1216.01,DCC_2024_2025,171.3,0,94,0.049
172,53.34371,-6.308068,3157.07,DCC_2024_2025,106.0,0,95,0.049
173,53.341469,-6.265393,457.9,DCC_2024_2025,25.0,1,153,0.049
174,53.319193,-6.232088,1932.88,DCC_2024_2025,63.5,0,40,0.049
175,53.313654,-6.222392,1588.05,DCC_2024_2025,74.5,0,41,0.049
176,53.33676,-6.306699,746.85,DCC_2024_2025,39.1,0,44,0.049
177,53.325687,-6.296616,707.43,DCC_2024_2025,144.7,1,21,0.049
178,53.357028,-6.249743,1130.52,DCC_2024_2025,99.2,0,55,0.049
179,53.38246,-6.244531,2143.84,DCC_2024_2025,214.4,0,31,0.049
180,53.387681,-6.244285,811.32,DCC_2024_2025,113.1,0,31,0.049
181,53.389748,-6.246276,915.6,DCC_2024_2025,107.9,0,27,0.049
182,53.350749,-6.254447,1086.26,DCC_2024_2025,90.5,0,186,0.049
183,53.347487,-6.255009,979.23,DCC_2024_2025,59.6,1,227,0.049
184,53.346815,-6.255125,769.64,DCC_2024_2025,43.2,1,247,0.049
